id,domain,utterance
train-1,calendar,Change Thursday's 15:00 and 18:00 item colors to black
train-2,workforce_management,Delete all information about the manager Gail
train-3,list,Delete all numbers from the list except the bottom number
train-4,workforce_management,Promote Annika to manager
train-5,list,Remove numbers 18 and 5
train-6,container_management,Unload the container in the third and fourth terminals
train-7,lighting_control,turn all family room lights off
train-8,workforce_management,remove keturah and felipe
train-9,calendar,Don't change any events
train-10,container_management,Load the container in terminal three
train-11,lighting_control,turn off every light in the house
train-12,calendar,Change the color of all my appointments on the 10th to red
train-13,lighting_control,Turn on all lights on floor 2 and floor 1
train-14,file_manager,"Delete jake4138.txt, car8810.txt, and car9643.docx"
train-15,file_manager,"Move the red line to the bottom of ""fun."""
train-16,list,Put the 2 at the bottom of the list
train-17,container_management,Load the container in the third terminal
train-18,workforce_management,Promote Tony to manager
train-19,container_management,Remove both the top and bottom bars
train-20,lighting_control,turn all lights on except for the one in the family room
train-21,messenger,mute my first two groups
train-22,lighting_control,Turn on all the lights on floor 2
train-23,file_manager,Move the file 'dog2842' to the third row in the Fun directory
train-24,list,Put the number 1 at the top of the list
train-25,list,Put the 19 at the top of the list
train-26,calendar,Change's Wednesday's 12:00 event color from green to red
train-27,container_management,Remove the container in the third terminal
train-28,workforce_management,change armando's pay to 88654
train-29,calendar,Remove the 10:00 and 11:00 events on Wednesday
train-30,lighting_control,turn off every light in the house
train-31,messenger,"Unmute chat group with Jessica, Stacy, Kevin, and 3 participants"
train-32,messenger,open a chat with jessica and robert
train-33,container_management,Remove the three short containers
train-34,list,Move 15 below 14
train-35,container_management,Load the container in terminal three
train-36,list,Remove all the numbers except the 15
train-37,file_manager,delete the row 'jake0962'
train-38,list,Move number 15 to bottom of list
train-39,file_manager,"delete the files named ""laptop0166"" and ""laptop7568"" from the directory named ""fun"""
train-40,file_manager,Delete the red line
train-41,lighting_control,turn all the lights off on the first floor
train-42,workforce_management,Change the position of Lazaro from QA to developer
train-43,lighting_control,make sure all the lights are on in every room
train-44,container_management,Remove the short loaded container and the empty container
train-45,file_manager,"move the files named ""laptop6190"" and ""sarah2761"" from the directory named ""fun"" to the directory named ""vacation"""
train-46,calendar,Change's Wednesday's 09:00 event color from blue to green
train-47,container_management,Load the container in terminal two and three
train-48,workforce_management,change lachelle's position to developer
train-49,lighting_control,turn on all the lights on floors 2 and 3
train-50,file_manager,Delete task2032.pdf
train-51,messenger,create new group with Sarah and Stacy
train-52,workforce_management,Change Elana's position from developer to QA
train-53,messenger,make a chat with amanda and andrew
train-54,lighting_control,Turn off all lights on floor 2
train-55,calendar,Cancel all events except haircut on Thursday
train-56,calendar,Change all scheduled event colors to red except buying a piano
train-57,list,Move number 19 to the top
train-58,container_management,Unload the container in the third terminal
train-59,list,"Remove 9, 5, and 11 from the list"
train-60,list,Move 18 below 2
train-61,file_manager,delete all files in the Work directory
train-62,container_management,change the color of the bottom most gray line to blue
train-63,workforce_management,Change Alesha's position from manager to developer
train-64,container_management,Unload the top container
train-65,workforce_management,Delete all of the cells for Reuben
train-66,file_manager,move the files named jake1753 and task7713 from the Work directory to the Fun directory
train-67,list,Put a 2 below 18 and above 9
train-68,workforce_management,give alison 49899 salary
train-69,messenger,unmute my first and second chat groups
train-70,workforce_management,Remove all of the cells for Margarita
train-71,list,move 20 to the bottom of the list
train-72,file_manager,Move the PDF file from the Work directory to the College directory
train-73,lighting_control,Turn on all lights on floor 1
train-74,container_management,Unload the container in the second terminal
train-75,list,Move the number 14 to the bottom of the list
train-76,container_management,"Remove the containers in the first, third, fourth and fifth terminals"
train-77,file_manager,Delete all files except for the largest image file in the College directory
train-78,messenger,mute all chat groups
train-79,workforce_management,change the title of position of manager to developer
train-80,list,Move number 6 to the top
train-81,file_manager,Move the entire Fun directory to the Vacation directory
train-82,lighting_control,turn on every light except for the one in the third floor living room
train-83,calendar,"Change the color of the 10:00, 12:00 and the 14:00 appointments on the 9th to blue"
train-84,workforce_management,"Decrease Nigel's salary to 83,006"
train-85,list,Put the 20 at the bottom of the list
train-86,calendar,change all events to green except 14:00 Thursday
train-87,container_management,Unload the containers in terminals three and five
train-88,container_management,Unload the container at the top
train-89,file_manager,Delete laptop4290.pdf
train-90,workforce_management,Fire Gladys and Shauna and take Veronica off of managing Gladys
train-91,workforce_management,"change the salary number of 98,415 to 82,355"
train-92,lighting_control,turn of the lights in the first and third floor bedrooms
train-93,lighting_control,Turn off the light in the bedroom on floor 2
train-94,file_manager,Delete the jake6313 image file and the task6387.docx file in the College directory
train-95,container_management,"Unload the containers in terminals two, four and five"
train-96,file_manager,"delete the file named ""sarah9199"" from the directory ""vacation"""
train-97,list,Move number 4 to the top
train-98,workforce_management,"Decrease Akilah's salary to 57,262"
train-99,messenger,mute all chat groups
train-100,workforce_management,Remove Colleen and Latoya from the employee list
train-101,file_manager,"Move both of the files in the ""Work"" directory to the ""College"" directory, so that the ""car"" file is listed first, and the ""laptop"" file is listed third"
train-102,messenger,"Add chat group with Jessica, Andrew, Brian, and 3 participants"
train-103,container_management,"Remove the containers in terminals one, two, and three"
train-104,file_manager,"Move all files from directory 'college"" to  directory ""fun"""
train-105,lighting_control,Turn off all the lights on floor 2 and floor 1
train-106,calendar,Don't change any events
train-107,container_management,Unload the container in terminal four
train-108,lighting_control,turn off all the lights on the first floor
train-109,workforce_management,Change Joelle's manager from Stephanie to Johanna
train-110,messenger,Mute the chat group that has six people including Jessica and Sarah
train-111,file_manager,Move the two largest files from the Fun directory into the Vacation directory
train-112,list,move 2 to the top of the list
train-113,workforce_management,Change Catharine from developer to manager
train-114,calendar,Delete all appointments after the 9:00 meeting on the 9th
train-115,file_manager,Delete the two largest files
train-116,list,Move number 1 to the bottom
train-117,calendar,Delete the car wash appointment on Wednesday
train-118,calendar,Make all events blue except 17:00 on Thursday
train-119,messenger,Mute the chat group that includes Andrew and Jessica
train-120,file_manager,Move red highlighted files from the college directory to the work directory
train-121,container_management,"Remove the top container, which is a half sized empty container, and replace it with a 1/2 sized full container"
train-122,container_management,Load all of the containers
train-123,messenger,"Mute chat group with Sarah, Robert, Amanda, and 7 participants"
train-124,container_management,Unload the container in terminal two
train-125,messenger,Un-mute the seven-person group with Brian and Robert in it
train-126,lighting_control,Turn on all lights on floor 1
train-127,calendar,Change buying a piano's event color from black to green
train-128,container_management,Unload the last container
train-129,list,"Remove numbers 9,11,7,19, and 10"
train-130,container_management,Remove the top bar
train-131,messenger,"Unmute chat group with Brian, Andrew, Jessica, and 2 participants"
train-132,container_management,Load the containers in the second and sixth terminals
train-133,messenger,unmute my last group
train-134,calendar,Delete buying office supplies from Thursday's schedule
train-135,calendar,Don't change any events
train-136,workforce_management,"change the salary of 95,187 to 80,773"
train-137,container_management,"Remove the containers in the first, third, fourth and sixth terminals"
train-138,lighting_control,Turn on all lights on floor 2 and floor 1
train-139,calendar,Don't change any events
train-140,calendar,Cancel the 08:00 shopping on Wednesday
train-141,lighting_control,turn off all the lights except for the one in the fourth floor bathroom
train-142,container_management,Load the bottom container
train-143,messenger,"Mute the group with Robert, Amy, and Andrew in it"
train-144,messenger,remove my first chat group
train-145,messenger,"Mute the Brian, Andrew group"
train-146,workforce_management,Change the manager of Genesis and Marcelino to Viola
train-147,lighting_control,turn the lights on in all rooms
train-148,list,move 14 to the bottom of the list
train-149,file_manager,copy and delete the row 'laptop4745' and insert it at the top of the Fun directory
train-150,workforce_management,Change Deena and Keona's manager from Melynda to Apryl
train-151,file_manager,"delete the file named ""jake9772"" from the directory ""college"" and delete the file named ""car3798"" from the directory named ""fun"""
train-152,file_manager,Delete the largest file
train-153,lighting_control,turn all the lights off except for the one in the second floor hall
train-154,file_manager,Move the smallest file from the Fun directory to the Work directory
train-155,container_management,Load the container in terminal three
train-156,calendar,Delete car wash
train-157,container_management,Load the container in terminal two
train-158,messenger,"Remove the chat group with Amanda, Sarah, and Stacy in it (six people total)"
train-159,lighting_control,Turn on all lights on floor 2 and floor 1
train-160,list,Move number 2 to the bottom
train-161,messenger,"Mute the eight-person group that includes Jessica, Amanda, and Robert"
train-162,container_management,"I need the second largest of those four containers unloaded, but don't do anything with the other ones and leave the one you've unloaded in the terminal after doing so"
train-163,calendar,Delete buying office supplies and jogging from the calendar
train-164,workforce_management,Change Sunny's position from manager to QA
train-165,lighting_control,Turn off the first floor bathroom light and hall light
train-166,file_manager,Delete the image files car0495 and task2791 in the Vacation directory
train-167,lighting_control,Turn off the lights on all floors
train-168,workforce_management,give terron 56353 salary
train-169,workforce_management,change danita's position to developer
train-170,lighting_control,Turn off all lights on floor 2
train-171,container_management,Remove the longest container
train-172,messenger,"Mute chat group with Jessica, Sarah, and 10 participants"
train-173,workforce_management,Replace Kylie as manager with Rolando and replace Dedra as manager with Rolando as well
train-174,lighting_control,turn off the lights on the third floor and leave everything else as it is
train-175,calendar,Delete Thursday's car wash item
train-176,calendar,Delete all events from Wednesday and Thursday except fixing engine
train-177,lighting_control,turn off the lights in every room on floors 2 and 3
train-178,container_management,Load the container in the first terminal
train-179,lighting_control,turn off all lights on floors one and two
train-180,workforce_management,"Change the first row salary to 81,990"
train-181,lighting_control,Turn on all the lights on all floors
train-182,workforce_management,"Change the salary of Roni to 66,058"
train-183,workforce_management,change kareen's salary to 67902
train-184,list,Remove number 19
train-185,lighting_control,Turn off the light in the bathroom on floor 1
train-186,messenger,"Add a chat group with Amanda, Jessica, and Andrew"
train-187,messenger,"Add a new chat group with Amanda, Jessica, and Brian in it"
train-188,calendar,change the color to green for 18:00 on Wednesday and 17:00 on Thursday
train-189,calendar,Cancel jogging on Thursday
train-190,lighting_control,turn off all the lights
train-191,messenger,"Remove the following two chat groups - the 3-person group with Amanda and Kevin, and the 2-person group with Robert and Kevin"
train-192,file_manager,Delete the 'jake5445' and 'task1209' rows
train-193,container_management,Remove the container in terminal two
train-194,container_management,Load the container in the first terminal
train-195,file_manager,Move laptop5798 that is an image file from the Vacation directory to the Fun directory
train-196,lighting_control,Turn off all lights on floor 2
train-197,lighting_control,Change the color of the top floor from Brown to Grey
train-198,calendar,Change the 09:00 event on Wednesday from black to red
train-199,list,"Remove numbers 15,9 and 1"
train-200,messenger,unmute my second chat group
train-201,lighting_control,Turn on all the lights on floor 1
train-202,workforce_management,"change Mercedes and her respective information to Addie, manager, Karey and 88,699"
train-203,file_manager,Delete the red lines
train-204,lighting_control,Turn on all lights on floor 1
